ID,saleid_ID,name,description,releasedate,discontinueddate,price,currency_code,height,width,depth,quantity,unitofmeasure_code,unitVolume_code
2f3a4b5c-6d7e-8f9a-0b1c-2d3e4f5a6b7c,a2f3b4c5-d6e7-4f8a-9b0c-1d2e3f4a5b6c,Proyector,Proyector portátil,2023-12-01,2026-12-01,500.00,USD,8.00,30.00,25.00,1.00,PCE,CM
3a4b5c6d-7e8f-9a0b-1c2d-3e4f5a6b7c8d,b3a4c5d6-e7f8-4a9b-0c1d-2e3f4a5b6c7d,Smartphone,Teléfono inteligente,2024-01-01,2027-01-01,900.00,USD,1.00,15.00,8.00,1.00,PCE,CM
4b5c6d7e-8f9a-0b1c-2d3e-4f5a6b7c8d9e,c4b5d6e7-f8a9-4b0c-1d2e-3f4a5b6c7d8e,Smartwatch,Reloj inteligente,2024-02-01,2027-02-01,250.00,USD,1.00,5.00,2.00,1.00,PCE,CM
5c6d7e8f-9a0b-1c2d-3e4f-5a6b7c8d9e0f,d5c6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,Tablet,Tablet gráfica,2024-03-01,2027-03-01,300.00,USD,1.00,30.00,20.00,1.00,PCE,CM
6d7e8f9a-0b1c-2d3e-4f5a-6b7c8d9e0f1a,e6d7f8a9-b0c1-4d2e-3f4a-5b6c7d8e9f0a,SSD,Disco sólido 512GB,2024-04-01,2027-04-01,150.00,USD,1.00,10.00,7.00,1.00,PCE,CM
7e8f9a0b-1c2d-3e4f-5a6b-7c8d9e0f1a2b,f7e8a9b0-c1d2-4e3f-4a5b-6c7d8e9f0a1b,Switch,Switch de red 8 puertos,2024-05-01,2027-05-01,120.00,USD,3.00,22.00,10.00,1.00,PCE,CM
8f9a0b1c-2d3e-4f5a-6b7c-8d9e0f1a2b3c,a8f9b0c1-d2e3-4f4a-5b6c-7d8e9f0a1b2c,Scanner,Escáner de documentos,2024-06-01,2027-06-01,180.00,USD,4.00,35.00,20.00,1.00,PCE,CM
9a0b1c2d-3e4f-5a6b-7c8d-9e0f1a2b3c4d,b9a0c1d2-e3f4-4a5b-6c7d-8e9f0a1b2c3d,Plotter,Plotter de impresión,2024-07-01,2027-07-01,2000.00,USD,15.00,120.00,40.00,1.00,PCE,CM
0b1c2d3e-4f5a-6b7c-8d9e-0f1a2b3c4d5e,c0b1d2e3-f4a5-4b6c-7d8e-9f0a1b2c3d4e,Servidor,Servidor rack,2024-08-01,2027-08-01,3500.00,USD,20.00,60.00,80.00,1.00,PCE,CM
101a1b1c-1d1e-1f1a-1b1c-1d1e1f8a1b1c,b1a2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Laptop,Portátil de alto rendimiento,2023-01-01,2026-01-01,1200.00,USD,2.00,35.00,25.00,1.00,PCE,CM
102a1b1c-1d1e-1f1a-1b1c-1d1e1f7a1b2c,b1a2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Mouse,Mouse inalámbrico,2023-02-01,2025-02-01,25.00,USD,3.00,6.00,4.00,2.00,PCE,CM
103a1b1c-1d1e-1f1a-1b1c-1d1e1f6a1b3c,b1a2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Teclado,Teclado mecánico,2023-03-01,2025-03-01,80.00,USD,4.00,45.00,15.00,1.00,PCE,CM
104a1b1c-1d1e-1f1a-1b1c-1d1e1f5a1b4c,b1a2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Monitor,Monitor 24 pulgadas,2023-04-01,2026-04-01,200.00,USD,6.00,55.00,20.00,1.00,PCE,CM
201a2b2c-2d2e-2f2a-2b2c-2d2e2f2a2b2c,c2b3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,Impresora,Impresora multifunción,2023-05-01,2027-05-01,350.00,USD,10.00,45.00,35.00,1.00,PCE,CM
202a2b2c-2d2e-2f2a-2b2c-2d2e2f2a2b3c,c2b3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,Tablet,Tablet 10 pulgadas,2023-06-01,2026-06-01,400.00,USD,1.00,25.00,15.00,1.00,PCE,CM
203a2b2c-2d2e-2f2a-2b2c-2d2e2f2a2b4c,c2b3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,Disco Duro,Disco duro externo 1TB,2023-07-01,2025-07-01,90.00,USD,2.00,12.00,8.00,1.00,PCE,CM
204a2b2c-2d2e-2f2a-2b2c-2d2e2f2a2b5c,c2b3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,Memoria USB,Memoria USB 64GB,2023-08-01,2025-08-01,20.00,USD,1.00,6.00,2.00,3.00,PCE,CM
301a3b3c-3d3e-3f3a-3b3c-3d3e3f3a3b3c,d3c4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,Router,Router inalámbrico,2023-09-01,2026-09-01,60.00,USD,3.00,18.00,10.00,1.00,PCE,CM
302a3b3c-3d3e-3f3a-3b3c-3d3e3f3a3b4c,d3c4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,Webcam,Cámara web HD,2023-10-01,2025-10-01,50.00,USD,2.00,8.00,6.00,1.00,PCE,CM
303a3b3c-3d3e-3f3a-3b3c-3d3e3f3a3b5c,d3c4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,Altavoces,Altavoces estéreo,2023-11-01,2026-11-01,70.00,USD,4.00,20.00,15.00,1.00,PCE,CM
304a3b3c-3d3e-3f3a-3b3c-3d3e3f3a3b6c,d3c4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,Proyector,Proyector portátil,2023-12-01,2026-12-01,500.00,USD,8.00,30.00,25.00,1.00,PCE,CM
401a4b4c-4d4e-4f4a-4b4c-4d4e4f4a4b4c,e4d5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,Smartphone,Teléfono inteligente,2024-01-01,2027-01-01,900.00,USD,1.00,15.00,8.00,1.00,PCE,CM
402a4b4c-4d4e-4f4a-4b4c-4d4e4f4a4b5c,e4d5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,Smartwatch,Reloj inteligente,2024-02-01,2027-02-01,250.00,USD,1.00,5.00,2.00,1.00,PCE,CM
403a4b4c-4d4e-4f4a-4b4c-4d4e4f4a4b6c,e4d5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,Tablet,Tablet gráfica,2024-03-01,2027-03-01,300.00,USD,1.00,30.00,20.00,1.00,PCE,CM
404a4b4c-4d4e-4f4a-4b4c-4d4e4f4a4b7c,e4d5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,SSD,Disco sólido 512GB,2024-04-01,2027-04-01,150.00,USD,1.00,10.00,7.00,1.00,PCE,CM
501a5b5c-5d5e-5f5a-5b5c-5d5e5f5a5b5c,f5e6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,Switch,Switch de red 8 puertos,2024-05-01,2027-05-01,120.00,USD,3.00,22.00,10.00,1.00,PCE,CM
502a5b5c-5d5e-5f5a-5b5c-5d5e5f5a5b8c,f5e6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,Scanner,Escáner de documentos,2024-06-01,2027-06-01,180.00,USD,4.00,35.00,20.00,1.00,PCE,CM
503a5b5c-5d5e-5f5a-5b5c-5d5e5f5a5b6c,f5e6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,Plotter,Plotter de impresión,2024-07-01,2027-07-01,2000.00,USD,15.00,120.00,40.00,1.00,PCE,CM
504a5b5c-5d5e-5f5a-5b5c-5d5e5f5a5b7c,f5e6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,Servidor,Servidor rack,2024-08-01,2027-08-01,3500.00,USD,20.00,60.00,80.00,1.00,PCE,CM
